video_id,bracket,native_fps,duration_sec,resolution,codec,source,filename,sha256
1Runner_crf_0_120fps,120fps,120.0,8.458,3840x2160,vp9,LIVE-YT-HFR,1Runner_crf_0_120fps.webm,0f586432995b422ed21628b5e3b9b2ef75a082cb0f5d88cd02340f1921e8a6c5
3Runners_crf_0_120fps,120fps,120.0,7.641,3840x2160,vp9,LIVE-YT-HFR,3Runners_crf_0_120fps.webm,1880bf281b5e020704317d5b83e70ac830c207dbcba28180480c2980ab10b208
Beauty_120fps,120fps,120.0,4.883984,3840x2160,hevc,UVG_Dataset,Beauty_120fps.mp4,4b9db4637205c9456716e21afb2e21a0b61c28bec06222dea52c2f5bc1612b2c
Bosphorus_120fps,120fps,120.0,4.883984,3840x2160,hevc,UVG_Dataset,Bosphorus_120fps.mp4,0bc902e310a421aa24dc9d0f4ec92c6c62ad3840a3e58644b0d2ce689b11abca
F001C001_140702_R3VJ,48-50fps,48.0,10.333333,1920x1080,prores,ARRI_AMIRA,F001C001_140702_R3VJ.mov,9ff5a4a7dd96d965f4c3f2140d12f711ac3c6f3d9caddaf17160ab6a868c8c1d
F001C002_140702_R3VJ,48-50fps,48.0,10.25,1920x1080,prores,ARRI_AMIRA,F001C002_140702_R3VJ.mov,33c2e918e5f6ac3f45a0b481aa09eb842a79c3d89dbaaafafdd16565f66bc65f
F001C003_140702_R3VJ,48-50fps,48.0,10.291667,1920x1080,prores,ARRI_AMIRA,F001C003_140702_R3VJ.mov,6790dde9a1dd719e7ce6cc4367ebe74b1f1f28c3b8968f8dd83e6a535b19b528
F001C004_140702_R3VJ,48-50fps,48.0,10.291667,2048x1152,prores,ARRI_AMIRA,F001C004_140702_R3VJ.mov,2442b76e45fe3e24ef13c015b99197a0627cca17e2867b05630bb73640f5d122
F001C005_140702_R3VJ,48-50fps,48.0,10.166667,2048x1152,prores,ARRI_AMIRA,F001C005_140702_R3VJ.mov,47a40b2c5d16de6637720f6d77bcd01e21f6aa6f7bd481f320f1782f77c2d019
F001C006_140702_R3VJ,48-50fps,48.0,10.125,2048x1152,prores,ARRI_AMIRA,F001C006_140702_R3VJ.mov,a6fa42fc93ad79d3a2f5202dbf51b6183854fcb78601b05f83b913a9c71562f5
Flips_crf_0_120fps,120fps,120.0,7.458,3840x2160,vp9,LIVE-YT-HFR,Flips_crf_0_120fps.webm,5058da7d8e939dede4f260109c0a6b37ff1ef1057951548fc991020488eb3b22
G001C001_140702_R3VJ,48-50fps,50.0,10.2,1920x1080,prores,ARRI_AMIRA,G001C001_140702_R3VJ.mov,89e91378d8e6bebaa3ce844cece3bfaef582a39d83e2427f81907fb9b32793a1
G001C002_140702_R3VJ,48-50fps,50.0,10.16,1920x1080,prores,ARRI_AMIRA,G001C002_140702_R3VJ.mov,d6970ef49fc3f8a49ba10d24d0940cfd4030e49b46eb9857fffe056004c17459
G001C003_140702_R3VJ,48-50fps,50.0,10.28,1920x1080,prores,ARRI_AMIRA,G001C003_140702_R3VJ.mov,41e6f9a7c4cf898a4fcb8881f7fe934dcb5d4eaf7db37fc94d2954042b8f031a
G001C004_140702_R3VJ,48-50fps,50.0,10.16,2048x1152,prores,ARRI_AMIRA,G001C004_140702_R3VJ.mov,96551bfb46a92fcd73544f6a5e987577418d66c40dbc7ae3a8c782f1627bb929
G001C005_140702_R3VJ,48-50fps,50.0,10.08,2048x1152,prores,ARRI_AMIRA,G001C005_140702_R3VJ.mov,f303e2c9614ca4a5d0aa5cd4e66298e5fe308ec5e1702672d290a286c7ab6f39
G001C006_140702_R3VJ,48-50fps,50.0,10.2,2048x1152,prores,ARRI_AMIRA,G001C006_140702_R3VJ.mov,b0905ce2f3da7cb832a4b5d1623941c4590a49637f757b7e519568b9e6beb5e2
HoneyBee_120fps,120fps,120.0,4.883984,3840x2160,hevc,UVG_Dataset,HoneyBee_120fps.mp4,1ee00c17f647a6faa70e31dbc1f370c7dbe524ba44d8038e570cf756dad66d2f
Hurdles_crf_0_120fps,120fps,120.0,10.8,3840x2160,vp9,LIVE-YT-HFR,Hurdles_crf_0_120fps.webm,f8db9537421a3d1dec0a7b0ebff5d67489ef8297239267b1f6dbe834848d7f71
Jockey_120fps,120fps,120.0,4.883984,3840x2160,hevc,UVG_Dataset,Jockey_120fps.mp4,7506f09aad07104a9429b71e9d54c33db9d40b305def3bdc7cfa2ca746a119d9
LongJump_crf_0_120fps,120fps,120.0,10.0,3840x2160,vp9,LIVE-YT-HFR,LongJump_crf_0_120fps.webm,ea16b6c24dfbc81a70dbdaa8c67232cd6db473319fef053b48c4edcdb92399d6
